date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:05	16599/16599	---M--	200	added ('OK')	image/jpeg	etag:%221346500804%22	http://colgis-bd.com/image/stMartin.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/stMartin.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:49:13	229932/229932	---M--	200	added ('OK')	image/jpeg	etag:%222246033168%22	http://colgis-bd.com/image/dhaka.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/dhaka.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:49:33	117381/117381	---M--	200	added ('OK')	image/jpeg	etag:%22343749763%22	http://colgis-bd.com/image/sajekVally.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/sajekVally.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:49:48	266501/266501	---M--	200	added ('OK')	image/jpeg	etag:%222155744556%22	http://colgis-bd.com/image/sundarban.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/sundarban.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:49:50	515496/515496	---M--	200	added ('OK')	image/jpeg	etag:%22603532493%22	http://colgis-bd.com/image/sevenColorTea.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/sevenColorTea.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:50:11	172451/172451	---M--	200	added ('OK')	image/jpeg	etag:%223564964320%22	http://colgis-bd.com/image/paharpur.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/paharpur.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:50:29	3054260/3054260	---M--	200	added ('OK')	video/mp4	etag:%22997627932%22	http://colgis-bd.com/video/background.mp4	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/video/background.mp4	(from http://colgis-bd.com/index.html)
22:50:30	8067/8067	---M--	200	added ('OK')	text/html	etag:%221f83-5d198ea117c30%22	http://colgis-bd.com/career.html	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/career.html	(from http://colgis-bd.com/webshowcase.html)
22:50:54	845096/845096	---M--	200	added ('OK')	image/jpeg	etag:%222280922596%22	http://colgis-bd.com/image/Sylhet.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/Sylhet.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:51:01	131182/131182	---M--	200	added ('OK')	image/png	etag:%221737470310%22	http://colgis-bd.com/image/web/dreammaster1.png	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/web/dreammaster1.png	(from http://colgis-bd.com/webshowcase.html)
22:51:03	141262/141262	---M--	200	added ('OK')	image/png	etag:%223146746184%22	http://colgis-bd.com/image/web/dreammaster2.png	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/web/dreammaster2.png	(from http://colgis-bd.com/webshowcase.html)
22:51:19	138312/138312	---M--	200	added ('OK')	image/png	etag:%221469035279%22	http://colgis-bd.com/image/web/dreammaster3.png	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/web/dreammaster3.png	(from http://colgis-bd.com/webshowcase.html)
22:51:32	750187/750187	---M--	200	added ('OK')	image/png	etag:%221628012841%22	http://colgis-bd.com/image/web/dreammaster.png	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/web/dreammaster.png	(from http://colgis-bd.com/webshowcase.html)
